Date,Name,Year,Letterboxd URI,Rating,decade,genre,liked
2021-01-12,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5.0,2010,"['Adventure', 'Animation', 'Action', 'Science Fiction']",yes
2021-01-12,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,5.0,2010,"['Drama', 'Romance', 'History']",yes
2021-01-12,The Handmaiden,2016,https://boxd.it/948A,5.0,2010,"['Thriller', 'Romance', 'Drama']",yes
2022-07-01,Swiss Army Man,2016,https://boxd.it/bDG2,4.5,2010,"['Drama', 'Fantasy', 'Comedy', 'Adventure', 'Romance']",no
2022-07-07,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5.0,2020,"['Science Fiction', 'Adventure', 'Comedy', 'Action']",no
2022-08-14,Donkey Skin,1970,https://boxd.it/22V2,4.5,1970,"['Fantasy', 'Romance', 'Comedy', 'Music']",yes
2022-12-05,Barbarian,2022,https://boxd.it/yohi,5.0,2020,"['Thriller', 'Horror']",no
2022-12-11,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,4.5,2020,"['Drama', 'Adventure', 'Animation', 'Fantasy']",yes
2023-04-13,M,1931,https://boxd.it/29vq,4.5,1930,"['Thriller', 'Drama', 'Crime']",no
2023-05-14,Soft & Quiet,2022,https://boxd.it/zd2o,0.5,2020,"['Horror', 'Thriller']",no
2023-06-26,The Tale of the Fox,1937,https://boxd.it/3b3K,4.0,1930,"['Fantasy', 'Animation', 'Comedy']",no
2023-07-10,Nimona,2023,https://boxd.it/Aiyc,4.5,2020,"['Fantasy', 'Adventure', 'Animation', 'Family', 'Action', 'Science Fiction', 'Comedy']",no
2023-07-22,Possession,1981,https://boxd.it/1BPm,3.0,1980,['Horror'],no
2023-07-29,Blue Is the Warmest Color,2013,https://boxd.it/4O40,1.0,2010,"['Drama', 'Romance']",no
2023-07-29,The Thing,1982,https://boxd.it/294O,4.0,1980,"['Mystery', 'Science Fiction', 'Horror']",no
2023-08-07,Being John Malkovich,1999,https://boxd.it/2ahu,4.5,1990,"['Comedy', 'Drama', 'Fantasy']",no
2023-08-07,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,4.5,2010,"['Mystery', 'Drama', 'Thriller']",no
2023-08-07,Ex Machina,2015,https://boxd.it/7T2k,4.0,2010,"['Science Fiction', 'Drama']",no
2023-08-07,The Young Girls of Rochefort,1967,https://boxd.it/26K8,4.5,1960,"['Romance', 'Comedy', 'Drama']",no
2023-08-07,One Hour Photo,2002,https://boxd.it/1YT2,3.5,2000,"['Thriller', 'Drama']",no
2023-08-24,The Wicker Man,1973,https://boxd.it/1KnG,4.5,1970,['Horror'],no
2023-09-12,Greener Grass,2019,https://boxd.it/jYoY,3.5,2010,['Comedy'],no
2023-09-18,27 Dresses,2008,https://boxd.it/21x4,2.5,2000,"['Romance', 'Comedy']",no
2023-09-19,Theater Camp,2023,https://boxd.it/Bfbm,4.5,2020,['Comedy'],no
2023-09-19,My Man Godfrey,1936,https://boxd.it/1PTC,4.0,1930,['Comedy'],no
2023-09-20,The Apartment,1960,https://boxd.it/2aGE,4.0,1960,"['Drama', 'Romance', 'Comedy']",no
2023-09-21,Shiva Baby,2020,https://boxd.it/oIv0,4.5,2020,"['Comedy', 'Drama']",no
2023-09-25,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/mK0a,5.0,2020,"['Action', 'Comedy', 'Animation', 'Science Fiction']",no
2023-09-28,Bottoms,2023,https://boxd.it/uGf2,5.0,2020,['Comedy'],yes
2023-09-30,Charade,1963,https://boxd.it/23O2,4.5,1960,"['Romance', 'Mystery', 'Comedy']",no
2023-10-15,Pearl,2022,https://boxd.it/zPbe,4.5,2020,"['Horror', 'Thriller']",no
2023-10-23,They Live,1988,https://boxd.it/20lm,4.0,1980,"['Thriller', 'Action', 'Science Fiction']",no
2023-11-12,"Night Is Short, Walk On Girl",2017,https://boxd.it/ffwA,4.5,2010,"['Romance', 'Fantasy', 'Comedy', 'Animation']",yes
2023-11-15,The Lodge,2019,https://boxd.it/h2c2,3.0,2010,"['Horror', 'Thriller', 'Mystery', 'Drama']",no
2023-11-19,Bones and All,2022,https://boxd.it/tLd4,4.5,2020,"['Horror', 'Drama', 'Romance']",no
2024-01-04,The Holdovers,2023,https://boxd.it/vHza,4.0,2020,"['Drama', 'Comedy']",no
2024-01-05,Isle of Dogs,2018,https://boxd.it/dZrW,4.0,2010,"['Comedy', 'Animation', 'Adventure']",no
2024-01-15,Saltburn,2023,https://boxd.it/z4eg,4.0,2020,"['Comedy', 'Drama', 'Thriller']",no
2024-01-20,Sonatine,1993,https://boxd.it/20TI,4.0,1990,"['Action', 'Thriller', 'Crime']",no
2024-01-28,The First Wives Club,1996,https://boxd.it/265O,3.5,1990,['Comedy'],no
2024-02-02,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,4.5,1960,['Western'],no
