Date,Name,Year,Letterboxd URI,Rating,decade,genres,liked,tmdb_id,runtime,lang,keywords
2021-01-12,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5.0,2010,"['Animation', 'Action', 'Adventure', 'Science Fiction']",yes,324857,117,en,"['superhero', 'based on comic', 'aftercreditsstinger', 'alternate universe']"
2021-01-12,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,5.0,2010,"['Drama', 'Romance', 'History']",yes,531428,121,fr,"['island', 'fire', 'beach', 'arranged marriage', 'classical music', 'painting', 'painter', 'greek mythology', 'lesbian relationship', 'person on fire', 'period drama', 'lesbian sex', 'portrait', 'lgbt', '18th century', 'woman director', 'abortion', 'portrait drawing', 'posing for a portrait', 'women gathering', 'women in film', 'walk', 'painting lesson', 'symphony orchestra', 'lesbian', 'serene', 'woman falls in love', 'vivaldi', 'women']"
2021-01-12,The Handmaiden,2016,https://boxd.it/948A,5.0,2010,"['Thriller', 'Drama', 'Romance']",yes,290098,145,ko,"['jealousy', 'based on novel or book', 'library', 'pickpocket', 'con man', 'swindler', 'lesbian relationship', 'mansion', 'lust', 'lgbt', 'noblewoman', 'shocking', 'erotic thriller', 'con woman', '1930s', ""lady's maid"", 'handmade', 'seducer', 'japanese occupation of korea', 'lesbian', ""girls' love (gl)"", 'excited']"
2022-07-01,Swiss Army Man,2016,https://boxd.it/bDG2,4.5,2010,"['Comedy', 'Drama', 'Romance', 'Fantasy', 'Adventure']",no,347031,97,en,"['beach', 'friends', 'survival', 'dead body', 'corpse', 'deserted island', 'buddy comedy', 'fart']"
2022-07-07,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5.0,2020,"['Action', 'Adventure', 'Science Fiction']",no,545611,140,en,"['mother', 'martial arts', 'kung fu', 'philosophy', 'generations conflict', 'chinese woman', 'surrealism', 'laundromat', 'chinese', 'east asian lead', 'divorce', 'family', 'lgbt', 'hot dog', 'asian woman', 'chinese immigrant', 'imaginative', 'mother daughter relationship', 'action comedy', 'asian american', 'intergenerational trauma', 'internal revenue service', 'interdimensional travel', 'absurd', 'dramatic', 'bold', 'excited', '瞬息全宇宙']"
2022-08-14,Donkey Skin,1970,https://boxd.it/22V2,4.5,1970,"['Fantasy', 'Comedy', 'Music', 'Romance']",yes,5590,90,fr,"['princess', 'loss of loved one', 'cake', 'donkey', 'prince', 'surrealism', 'imaginary land', 'wedding', 'king', 'leaving home', 'based on fairy tale', 'ring', 'anachronism', 'fairy godmother', 'father daughter relationship']"
2022-12-05,Barbarian,2022,https://boxd.it/yohi,5.0,2020,"['Horror', 'Thriller']",no,913290,102,en,"['monster', 'sexual abuse', 'paranoia', 'flashback', 'basement', 'serial killer', 'duringcreditsstinger', 'paranoid', 'airbnb', 'abduction', 'metoo', 'secret room', 'distressing', 'ghoulish']"
2022-12-11,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,4.5,2020,"['Animation', 'Fantasy', 'Adventure', 'Drama']",yes,555604,117,en,"['based on novel or book', 'italy', 'fascism', 'greed', 'woodcutter', 'musical', 'puppet', 'benito mussolini', 'stop motion', 'dark fantasy', 'duringcreditsstinger', '1940s', 'wooden dummy']"
2023-04-13,M,1931,https://boxd.it/29vq,4.5,1930,['Drama'],no,301282,0,de,[]
2023-05-14,Soft & Quiet,2022,https://boxd.it/zd2o,0.5,2020,"['Horror', 'Thriller']",no,934131,91,en,"['rape', 'sexual violence', 'racism', 'former best friend', 'hate group', 'real time', 'woman director', 'psychological horror', 'horror']"
2023-06-26,The Tale of the Fox,1937,https://boxd.it/3b3K,4.0,1930,"['Animation', 'Comedy', 'Fantasy']",no,90034,65,fr,"['based on novel or book', 'kingdom', 'lion', 'fox', 'puppet', 'stop motion', 'king', 'animals']"
2023-07-10,Nimona,2023,https://boxd.it/Aiyc,4.5,2020,"['Animation', 'Family', 'Action', 'Science Fiction', 'Adventure', 'Fantasy', 'Comedy']",no,961323,101,en,"['monster', 'supernatural', 'on the run', 'knight', 'based on graphic novel', 'metamorphosis', 'lgbt', 'shape shifter', 'unlikely friendship', 'girl power', 'imaginative', 'irreverent', 'heartfelt', 'teenager', 'science fantasy']"
2023-07-22,Possession,1981,https://boxd.it/1BPm,3.0,1980,['Horror'],no,21484,124,en,"['adultery', 'berlin, germany', 'monster', 'police', 'marriage crisis', 'germany', 'berlin wall', 'obsession', 'investigation', 'gore', 'hysteria', 'teacher', 'murder', 'domestic abuse', 'serial killer', 'domestic violence', 'motorcycle', 'tentacle', 'miscarriage', 'separation', 'extramarital affair', 'mental illness', 'private detective', 'spiral staircase', 'doppelgänger', 'dual role', 'marital separation', 'video nasty', 'breakdown', 'downward spiral', 'impending divorce', 'depressing', 'frustrated']"
2023-07-29,Blue Is the Warmest Color,2013,https://boxd.it/4O40,1.0,2010,"['Romance', 'Drama']",no,152584,180,fr,"['homophobia', 'self-discovery', 'eroticism', 'coming of age', 'love', 'lesbian relationship', 'sexual attraction', 'based on graphic novel', 'high school student', 'sexual desire', 'teenage sexuality', 'lgbt', 'sexual awakening', 'literary adaptation', 'social class', 'lille, france', 'self exploration', 'lesbian', 'age-gap relationship', 'teenager']"
2023-07-29,The Thing,1982,https://boxd.it/294O,4.0,1980,"['Horror', 'Mystery', 'Science Fiction']",no,1091,109,en,"['spacecraft', 'helicopter', 'space marine', 'based on novel or book', 'isolation', 'mutation', 'paranoia', 'grave', 'snowstorm', 'research station', 'alien life-form', 'alien', 'remake', 'survival', 'creature', 'helicopter pilot', 'antarctica', 'shape shifting alien', 'alien infection', 'survival horror', 'sled dogs', 'alien monster', 'paranoid', 'alien parasites', 'isolated place', 'uncertainty', 'blood test', 'body horror', 'ambiguity', 'lovecraftian', 'critical', 'ominous', 'antarctic', 'monster horror']"
2023-08-07,Being John Malkovich,1999,https://boxd.it/2ahu,4.5,1990,"['Comedy', 'Drama', 'Fantasy']",no,492,113,en,"['witch', 'sexual identity', 'individual', 'secret love', 'transvestism', 'identity', 'subconsciousness', 'new identity', 'pet', 'chimp', 'puppeteer', 'appropriation of another human being', 'externally controlled action', 'pet shop', 'shocking']"
2023-08-07,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,4.5,2010,"['Drama', 'Thriller', 'Mystery']",no,399057,121,en,"['husband wife relationship', 'hostage', 'psychopath', 'insanity', 'blackmail', 'surgeon', 'paralysis', 'dysfunctional family', 'paranormal', 'revenge', 'hospital', 'cruelty', 'brutality', 'cafe', 'cardiologist', 'recovering alcoholic', 'open heart surgery']"
2023-08-07,Ex Machina,2015,https://boxd.it/7T2k,4.0,2010,"['Drama', 'Science Fiction']",no,264660,108,en,"['android', 'dancing', 'friendship', 'man vs machine', 'distrust', 'artificial intelligence (a.i.)', 'isolation', 'technology', 'manipulation', 'high technology', 'treason', 'deception', 'norway', 'laboratory', 'robot', 'power outage', 'surveillance', 'rich', 'surveillance camera', 'consciousness', 'employer employee relationship', 'isolated house', 'wealthy man', 'existentialism', 'lockdown', 'emotional intelligence', 'female cyborg', 'human android relationship', 'tech company', 'critical', 'intense', 'big tech']"
2023-08-07,The Young Girls of Rochefort,1967,https://boxd.it/26K8,4.5,1960,"['Romance', 'Comedy', 'Drama']",no,2433,126,fr,"['new love', 'sibling relationship', 'mistake in person', 'unexpected happiness', 'twin sister', 'painting', 'fair', 'bridge', 'musical', ""man of one's dreams"", 'ideal', 'ballet', 'twins', 'musical comedy', 'sister sister relationship', 'relaxed', 'lighthearted', 'witty']"
2023-08-07,One Hour Photo,2002,https://boxd.it/1YT2,3.5,2000,"['Drama', 'Thriller']",no,9357,96,en,"['hotel room', 'cheating', 'supermarket', 'penalty', 'photography', 'knife', 'birthday party', 'stalker', 'photo lab', 'voyeurism', 'unfaithful husband', 'suspenseful', 'tense', 'foreboding']"
